
la commune,les années,Température à 2m Max   ( c ),la températue moyenne      ( c ),Température  à 2 m min     ( c ),Somme totale corrigée des précipitations (mm),Direction du vent sur 2 m  (°),Direction du vent sur 10m (°),Direction du vent sur 50m(°),vitesse du vent à 2 m  (m/s),vitesse du vent sur 10m(m/s),vitesse du vent sur 50m(m/s),Humidité spécifique à 2 mètres (g/kg),Humidité Relative (%),préssion de surface (kPa),Température du sol ( c ),Humidité de surface du sol,Humidité du profil du sol,Humidité de la zone racinaire du sol ,Température du thermomètre à bulbe humide à 2mèttre ( c),Point de rosée/gel à 2 mètres           ( C ),Irradiance directe normale descendante de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance descendante de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance descendante de courte longueur d'onde en surface sous ciel clair (kW-hr/m²/jour),Irradiance diffuse de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance UVA de Surface sous Toutes Conditions Météorologiques (W/m^2),Irradiance UVB de Surface sous Toutes Conditions Météorologiques (W/m^2),Irradiance Totale de la Radiation Photosynthétiquement Active de Surface sous Toutes Conditions Météorologiques (W/m²),totale palmiers productifs,production  (Qx),Rendement (Quintal /palmier),la production de la commune (Kg),Rendement des dattes (Kg/palmier),palmiers productifs de variété Deglet Nour (Nombre),production  de la variété Deglet Nour (Qx°,productin    (kg) ,le rendement de la variété Deglet Nour (kg/palmier)
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,311550,344731,1.106502969,34473100,110.6502969,245220,279551,27955100,114.0000816
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,308330,441430,1.431680342,44143000,143.1680342,242000,375100,37510000,155
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,309080,443080,1.433544713,44308000,143.3544713,242750,376210,37621000,154.9783728
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,309515,443080,1.431529974,44308000,143.1529974,243185,376210,37621000,154.7011534
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,309515,352407,1.138578098,35240700,113.8578098,243185,291534,29153400,119.8815716
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,312230,370307,1.18600711,37030700,118.600711,245900,301500,30150000,122.6108174
El Hadjeb,2007,44.1,44.88,-0.77,137.11,38.69,42.56,44.75,11.19,15.18,19.1,6.35,46.69,97.18,20.37,0.32,0.39,0.38,13,6.15,6.05,5.48,5.96,1.81,12.81,0.27,102.05,153540,92120,0.599973948,9212000,59.99739482,52730,30815,3081500,58.43921866
,2008,45.17,46.79,-1.62,210.94,68.75,67.31,65.06,12.25,16.53,20.05,6.29,46.62,97.16,20.36,0.3,0.38,0.38,12.77,5.79,6.05,5.49,5.92,1.84,12.82,0.28,102.38,153540,107478,0.7,10747800,70,52230,30815,3081500,58.99865977
,2009,44.06,44.7,-0.63,242.58,23.25,32.06,36.06,11.2,15.1,18.92,6.65,50.19,97.07,19.71,0.38,0.42,0.4,13.01,6.73,6.34,5.55,6.02,1.73,13.03,0.28,103.28,154040,110251.14,0.715730589,11025114,71.57305895,79199,60191.24,6019124,76
,2010,44.69,48.09,-3.39,195.12,38,43.88,46.25,11.4,15.33,18.77,6.47,47.06,96.94,20.35,0.34,0.39,0.38,13.04,6.37,6.06,5.45,5.95,1.79,12.83,0.27,101.92,183575,158306,0.862350538,15830600,86.23505379,112500,101250,10125000,90
,2011,44.9,45.79,-0.89,263.67,60.75,59.62,55.62,10.15,13.57,16.7,6.84,50,97.22,20.29,0.35,0.39,0.38,13.45,7.23,6.22,5.51,5.94,1.74,12.97,0.28,103.16,236949,206867,0.87304441,20686700,87.30444104,147500,133487,13348700,90.49966102
,2012,45.83,49.18,-3.35,121.29,35.69,41.62,45.25,11.25,15.17,18.73,6.1,45.12,97.19,20.87,0.3,0.38,0.38,12.94,5.63,6.32,5.59,5.99,1.77,13.09,0.28,104.09,231949,212582,0.916503197,21258200,91.65031968,147500,137175,13717500,93
,2013,43.33,45.24,-1.92,216.21,25.06,32.81,36.94,11.09,14.89,18.65,6.47,47.62,97.09,20.15,0.34,0.39,0.38,12.98,6.37,6.24,5.51,5.98,1.73,12.98,0.28,103.01,231949,212582,0.916503197,21258200,91.65031968,147500,137175,13717500,93
,2014,44.42,44.77,-0.35,137.11,51.38,53.31,53.19,10.3,13.91,16.73,6.23,45.25,97.1,20.92,0.31,0.38,0.38,13.12,5.96,6.18,5.49,5.97,1.75,12.9,0.27,102.62,231949,214581,0.925121471,21458100,92.51214707,147500,140125,14012500,95
,2015,45.53,48.39,-2.86,142.38,53.38,56,55.44,10.45,14.01,16.85,6.29,45,97.34,20.9,0.28,0.38,0.37,12.99,5.79,6.3,5.55,5.98,1.73,13,0.27,103.52,231949,213267,0.919456432,21326700,91.94564322,147500,137175,13717500,93
,2016,43.53,42.51,1.02,179.3,42.88,47.12,49.12,10.02,13.41,15.69,6.29,44.62,97.22,21.17,0.3,0.38,0.38,13.21,5.97,6.23,5.54,5.96,1.76,12.99,0.28,103.43,231949,205638,0.886565581,20563800,88.65655812,147500,132750,13275000,90
,2017,46.5,47.51,-1.01,105.47,64.5,62.12,57.5,11.09,14.6,17.79,6.1,44.56,97.3,20.85,0.28,0.38,0.37,12.83,5.56,6.43,5.58,6,1.71,13.07,0.28,104.07,237527,257637,1.084664059,25763700,108.4664059,152550,173907,17390700,114
,2018,45.3,46.4,-1.1,158.2,20.62,29.56,35.25,10.16,13.71,16.11,6.47,46.88,97.09,20.69,0.3,0.38,0.38,13.17,6.37,6.06,5.45,5.97,1.82,12.85,0.27,102.1,231949,215512,0.929135284,21551200,92.9135284,147500,141600,14160000,96
,2019,46.4,47.15,-0.74,263.67,29.38,34.5,37.25,11.84,15.86,19.45,6.41,46.44,97.14,20.74,0.32,0.39,0.38,13.14,6.12,6.3,5.57,6.01,1.78,13.1,0.28,103.95,232349,217090,0.93432724,21709000,93.43272405,147900,142090,14209000,96.07167005
,2020,45.68,45.89,-0.21,189.84,51.12,54.31,54.56,10.25,13.83,16.84,6.59,46.25,97.26,21.04,0.34,0.4,0.38,13.64,6.76,6.3,5.56,5.99,1.76,13.04,0.29,104.03,232349,220233,0.947854305,22023300,94.78543054,147900,142090,14209000,96.07167005
,2021,47.82,50.4,-2.58,106.45,98.31,89.19,79.94,9.66,13.19,16.25,6.16,43.06,97.18,21.98,0.27,0.38,0.37,13.5,5.69,5.9,5.5,5.93,1.95,12.73,0.27,102.69,232649,191940,0.825019665,19194000,82.50196648,148000,112800,11280000,76.21621622
,2022,46.77,46.07,0.7,140.72,93.38,85.88,77.25,11.35,15.18,18.63,6.16,41.81,97.27,22.15,0.27,0.38,0.37,13.6,5.69,6.05,5.52,5.94,1.87,12.86,0.28,103.34,232649,238952,1.027092315,23895200,102.7092315,148000,146520,14652000,99
Lichanna,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,115550,72885,0.630765902,7288500,63.07659022,107122,65415,6541500,61.06588749
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,115550,92753,0.802708784,9275300,80.27087841,107120,65415,6541500,61.06702763
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,115650,87967.5,0.760635538,8796750,76.06355383,108900,82764,8276400,76
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,109350,97821,0.894567901,9782100,89.45679012,102800,92520,9252000,90
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,136550,122293,0.895591358,12229300,89.55913585,129900,116910,11691000,90
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,136960,162178,1.184126752,16217800,118.4126752,130300,156360,15636000,120
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,136960,162178,1.184126752,16217800,118.4126752,130300,156360,15636000,120
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,137220,201618,1.469304766,20161800,146.9304766,130500,195750,19575000,150
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,137220,208548,1.519807608,20854800,151.9807608,130500,202253,20225300,154.9831418
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,137960,203390,1.474267904,20339000,147.4267904,130860,196290,19629000,150
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,139260,157662,1.132141318,15766200,113.2141318,132160,150662,15066200,113.9996973
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,141100,214800,1.522324592,21480000,152.2324592,134000,207700,20770000,155
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,141850,215670,1.520408883,21567000,152.0408883,134750,208430,20843000,154.6790353
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,141850,215670,1.520408883,21567000,152.0408883,134750,208430,20843000,154.6790353
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,141850,187693,1.323179415,18769300,132.3179415,134750,179400,17940000,133.135436
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,141850,185985,1.311138527,18598500,131.1138527,134750,175175,17517500,130
Bouchagroun,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,84370,56810,0.673343606,5681000,67.33436055,55060,39040,3904000,70.90446785
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,84730,67780,0.799952791,6778000,79.99527912,55050,39040,3904000,70.91734787
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,91850,75008,0.816635819,7500800,81.66358193,65550,49818,4981800,76
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,97150,84819,0.873072568,8481900,87.30725682,65850,59265,5926500,90
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,106730,93183,0.873072238,9318300,87.30722384,75000,67500,6750000,90
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,107240,118882,1.108560239,11888200,110.8560239,75500,90600,9060000,120
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,107240,118882,1.108560239,11888200,110.8560239,75500,90600,9060000,120
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,107500,141830,1.319348837,14183000,131.9348837,75700,113550,11355000,150
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,107500,148780.5,1.384004651,14878050,138.4004651,75700,119000,11900000,157.1994716
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,108360,146470,1.351698044,14647000,135.1698044,76220,114330,11433000,150
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,111740,122309,1.094585645,12230900,109.4585645,79640,90790,9079000,114.0005023
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,141100,214800,1.522324592,21480000,152.2324592,134000,207700,20770000,155
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,113890,161170,1.415137413,16117000,141.5137413,81750,125990,12599000,154.116208
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,113890,161170,1.415137413,16117000,141.5137413,81750,125990,12599000,154.116208
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,113890,133904,1.175730968,13390400,117.5730968,81750,99800,9980000,122.0795107
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,114840,141771,1.234508882,14177100,123.4508882,82700,106240,10624000,128.4643289
 Bordj Ben Azzouz,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,133620,86720,0.64900464,8672000,64.900464,116800,79080,7908000,67.70547945
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,133620,108896,0.814967819,10889600,81.49678192,116800,79080,7908000,67.70547945
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,134059,104825.84,0.781938102,10482584,78.19381019,115059,87444.84,8744484,76
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,141150,124843,0.884470422,12484300,88.44704215,118100,106290,10629000,90
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,142480,126022,0.884489051,12602200,88.44890511,119200,107280,10728000,90
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,142530,163182,1.144895811,16318200,114.4895811,119250,143100,14310000,120
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,142530,163182,1.144895811,16318200,114.4895811,119250,143100,14310000,120
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,142580,199032,1.395932108,19903200,139.5932108,119300,178950,17895000,150
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,142580,212561,1.490819189,21256100,149.0819189,119300,190880,19088000,160
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,142700,202390,1.418290119,20239000,141.8290119,119380,179070,17907000,150
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,145390,162180,1.115482495,16218000,111.5482495,122070,139160,13916000,114.0001638
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,144020,210405,1.460942925,21040500,146.0942925,120700,187085,18708500,155
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,144020,211670,1.469726427,21167000,146.9726427,120700,187740,18774000,155.5426678
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,144020,211670,1.469726427,21167000,146.9726427,120700,187740,18774000,155.5426678
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,144020,191305,1.328322455,19130500,132.8322455,120700,166800,16680000,138.1938691
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,146108,200814,1.374421661,20081400,137.4421661,122788,168000,16800000,136.8211877
Foughala,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,110670,96070,0.868076263,9607000,86.80762628,67070,48708,4870800,72.62263307
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,110670,94069,0.849995482,9406900,84.99954821,67070,48708,4870800,72.62263307
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,111340,87079,0.782099874,8707900,78.20998743,70000,53200,5320000,76
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,113040,98151,0.868285563,9815100,86.82855626,70700,63630,6363000,90
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,114450,99411,0.868597641,9941100,86.85976409,72000,64800,6480000,90
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,115950,125910,1.085899094,12591000,108.5899094,73500,88200,8820000,120
